,density,num_sets,tabu,tweak_type,iterated_local_search,fitness calls,fitness score
0,0.3,100,True,steepest_ascent,True,120,"(100, -7)"
1,0.3,100,True,steepest_ascent,False,120,"(100, -7)"
2,0.3,100,True,random_hillclimber,True,17,"(100, -13)"
3,0.3,100,True,random_hillclimber,False,76,"(100, -9)"
4,0.3,100,False,steepest_ascent,True,85,"(100, -7)"
5,0.3,100,False,steepest_ascent,False,97,"(100, -8)"
6,0.3,100,False,random_hillclimber,True,111,"(100, -10)"
7,0.3,100,False,random_hillclimber,False,111,"(100, -8)"
8,0.3,1000,True,steepest_ascent,True,157,"(1000, -13)"
9,0.3,1000,True,steepest_ascent,False,145,"(1000, -12)"
10,0.3,1000,True,random_hillclimber,True,16,"(1000, -15)"
11,0.3,1000,True,random_hillclimber,False,24,"(1000, -17)"
12,0.3,1000,False,steepest_ascent,True,145,"(1000, -12)"
13,0.3,1000,False,steepest_ascent,False,157,"(1000, -13)"
14,0.3,1000,False,random_hillclimber,True,27,"(1000, -16)"
15,0.3,1000,False,random_hillclimber,False,19,"(1000, -17)"
16,0.3,5000,True,steepest_ascent,True,205,"(5000, -17)"
17,0.3,5000,True,steepest_ascent,False,8555,"(5000, -16)"
18,0.3,5000,True,random_hillclimber,True,28,"(5000, -23)"
19,0.3,5000,True,random_hillclimber,False,32,"(5000, -24)"
20,0.3,5000,False,steepest_ascent,True,229,"(5000, -19)"
21,0.3,5000,False,steepest_ascent,False,217,"(5000, -18)"
22,0.3,5000,False,random_hillclimber,True,31,"(5000, -23)"
23,0.3,5000,False,random_hillclimber,False,30,"(5000, -23)"
24,0.7,100,True,steepest_ascent,True,37,"(100, -3)"
25,0.7,100,True,steepest_ascent,False,37,"(100, -3)"
26,0.7,100,True,random_hillclimber,True,24,"(100, -4)"
27,0.7,100,True,random_hillclimber,False,24,"(100, -4)"
28,0.7,100,False,steepest_ascent,True,37,"(100, -3)"
29,0.7,100,False,steepest_ascent,False,37,"(100, -3)"
30,0.7,100,False,random_hillclimber,True,22,"(100, -3)"
31,0.7,100,False,random_hillclimber,False,6,"(100, -5)"
32,0.7,1000,True,steepest_ascent,True,61,"(1000, -5)"
33,0.7,1000,True,steepest_ascent,False,61,"(1000, -5)"
34,0.7,1000,True,random_hillclimber,True,7,"(1000, -6)"
35,0.7,1000,True,random_hillclimber,False,7,"(1000, -6)"
36,0.7,1000,False,steepest_ascent,True,61,"(1000, -5)"
37,0.7,1000,False,steepest_ascent,False,61,"(1000, -5)"
38,0.7,1000,False,random_hillclimber,True,9,"(1000, -6)"
39,0.7,1000,False,random_hillclimber,False,7,"(1000, -6)"
40,0.7,5000,True,steepest_ascent,True,73,"(5000, -6)"
41,0.7,5000,True,steepest_ascent,False,73,"(5000, -6)"
42,0.7,5000,True,random_hillclimber,True,10,"(5000, -9)"
43,0.7,5000,True,random_hillclimber,False,8,"(5000, -7)"
44,0.7,5000,False,steepest_ascent,True,85,"(5000, -7)"
45,0.7,5000,False,steepest_ascent,False,73,"(5000, -6)"
46,0.7,5000,False,random_hillclimber,True,9,"(5000, -8)"
47,0.7,5000,False,random_hillclimber,False,8,"(5000, -7)"
